2025-03-04 10:30:47.6633 | INFO | HelloGreetingApplication.Program | Application Starting... 
2025-03-04 10:30:50.0310 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7193 
2025-03-04 10:30:50.0310 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5161 
2025-03-04 10:30:50.1237 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2025-03-04 10:30:50.1237 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2025-03-04 10:30:50.1237 | INFO | Microsoft.Hosting.Lifetime | Content root path: E:\HelloGreetingApplication\HelloGreetingApplication\ 
2025-03-04 10:30:51.6391 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7193/swagger - - 
2025-03-04 10:30:52.3783 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7193/swagger - - - 301 0 - 750.2300ms 
2025-03-04 10:30:52.4368 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7193/swagger/index.html - - 
2025-03-04 10:30:52.7102 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7193/swagger/index.html - - - 200 - text/html;charset=utf-8 275.7454ms 
2025-03-04 10:30:52.8158 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7193/swagger/swagger-ui.css - - 
2025-03-04 10:30:52.8305 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7193/swagger/index.css - - 
2025-03-04 10:30:52.8305 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7193/swagger/swagger-ui-standalone-preset.js - - 
2025-03-04 10:30:52.8305 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7193/swagger/swagger-ui-bundle.js - - 
2025-03-04 10:30:52.8305 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7193/_framework/aspnetcore-browser-refresh.js - - 
2025-03-04 10:30:52.8988 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7193/swagger/index.js - - 
2025-03-04 10:30:52.9131 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7193/swagger/index.js - - - 200 - application/javascript;charset=utf-8 17.6366ms 
2025-03-04 10:30:52.9286 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7193/_framework/aspnetcore-browser-refresh.js - - - 200 12380 application/javascript;+charset=utf-8 96.6675ms 
2025-03-04 10:30:52.9286 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/index.css'. Physical path: 'N/A' 
